model,quantity
73971,{'stock': 'MEDIUM QUANTITY'}
74082,{'stock': 'LARGE QUANTITY'}
74106,{'stock': 'OUT OF STOCK'}
74121,{'stock': 'LARGE QUANTITY'}
74136,{'stock': 'OUT OF STOCK'}
74443,{'stock': 'LARGE QUANTITY'}
74452,{'stock': 'LARGE QUANTITY'}
74471,{'stock': 'LARGE QUANTITY'}
74485,{'stock': 'LARGE QUANTITY'}
74502,{'stock': 'OUT OF STOCK'}
74509,{'stock': 'LARGE QUANTITY'}
74581,{'stock': 'LARGE QUANTITY'}
74604,{'stock': 'LARGE QUANTITY'}
74622,{'stock': 'LARGE QUANTITY'}
74624,{'stock': 'LARGE QUANTITY'}
74481,{'stock': 'OUT OF STOCK'}
74653,{'stock': 'OUT OF STOCK'}
74657,{'stock': 'LARGE QUANTITY'}
74664,{'stock': 'LARGE QUANTITY'}
74666,{'stock': 'LARGE QUANTITY'}
74685,{'stock': 'OUT OF STOCK'}
74753,{'stock': 'LARGE QUANTITY'}
74765,{'stock': 'LARGE QUANTITY'}
74772,{'stock': 'LARGE QUANTITY'}
74773,{'stock': 'LARGE QUANTITY'}
74775,{'stock': 'LARGE QUANTITY'}
74786,{'stock': 'LARGE QUANTITY'}
74858,{'stock': 'LARGE QUANTITY'}
74885,{'stock': 'LARGE QUANTITY'}
74886,{'stock': 'LARGE QUANTITY'}
74960,{'stock': 'OUT OF STOCK'}
75286,{'stock': 'LARGE QUANTITY'}
75287,{'stock': 'LARGE QUANTITY'}
75303,{'stock': 'LARGE QUANTITY'}
74750,{'stock': 'LARGE QUANTITY'}
74802,{'stock': 'LARGE QUANTITY'}
74887,{'stock': 'LARGE QUANTITY'}
74933,{'stock': 'OUT OF STOCK'}
75356,{'stock': 'MEDIUM QUANTITY'}
75360,{'stock': 'MEDIUM QUANTITY'}
75369,{'stock': 'LARGE QUANTITY'}
75371,{'stock': 'LARGE QUANTITY'}
75450,{'stock': 'MEDIUM QUANTITY'}
75464,{'stock': 'LARGE QUANTITY'}
75472,{'stock': 'LARGE QUANTITY'}
75539,{'stock': 'LARGE QUANTITY'}
75565,{'stock': 'LARGE QUANTITY'}
75619,{'stock': 'LARGE QUANTITY'}
75622,{'stock': 'LARGE QUANTITY'}
75636,{'stock': 'LARGE QUANTITY'}
75650,{'stock': 'LARGE QUANTITY'}
75660,{'stock': 'OUT OF STOCK'}
75671,{'stock': 'LARGE QUANTITY'}
75706,{'stock': 'LARGE QUANTITY'}
75802,{'stock': 'LARGE QUANTITY'}
75813,{'stock': 'MEDIUM QUANTITY'}
75838,{'stock': 'LARGE QUANTITY'}
75852,{'stock': 'LARGE QUANTITY'}
75916,{'stock': 'LARGE QUANTITY'}
