model,quantity
YT-22760,0
YT-22872,100
YT-22873,20
YT-22874,100
YT-23311,0
YT-23340,0
YT-23640,100
YT-23731,100
YT-2381,100
YT-24234,20
YT-24240,100
YT-24253,0
YT-24775,100
YT-24801,100
YT-24971,100
YT-25003,100
YT-25004,100
YT-2515,100
YT-2518,100
YT-25380,0
YT-25483,0
YT-25657,100
YT-25658,100
YT-25672,100
YT-25678,100
YT-25683,100
YT-25802,100
YT-25803,100
YT-25804,0
YT-25836,100
YT-25924,100
YT-25933,100
YT-25943,100
YT-25957,100
YT-2247,100
YT-2263,100
YT-2276,0
YT-22851,100
YT-2374,100
YT-2382,100
YT-25001,100
YT-25835,0
YT-25857,100
YT-25839,100
YT-25989,100
YT-25994,100
YT-2606,0
YT-2663,100
YT-2667,0
YT-2655,0
YT-2743,0
YT-2746,0
YT-27930,100
YT-27960,0
YT-2801,100
YT-2821,100
YT-2823,100
YT-282655,100
YT-282663,100
YT-282681,20
YT-28295,0
YT-28300,100
YT-28330,0
YT-2865,100
YT-28667,100
YT-28922,100
YT-28962,100
YT-29050,0
YT-2914,100
YT-28950,100
YT-28313,100
YT-2949,0
YT-2981,100
YT-2990,100
YT-30063,100
YT-30064,100
YT-30073,100
YT-30092,100
YT-30100,100
YT-30101,100
YT-30113,100
YT-30320,100
YT-30330,100
YT-30340,100
YT-30428,100
YT-30475,100
YT-30491,0
YT-30503,100
YT-30550,100
YT-2978,100
YT-30479,0
YT-3134,100
YT-31350,100
YT-3160,100
YT-3161,0
YT-31612,100
YT-31290,100
YT-3200,100
YT-3233,100
YT-3242,100
YT-3253,100
YT-3254,100
YT-3281,100
YT-3272,100
YT-3306,100
YT-3322,100
YT-3334,100
YT-3376,0
YT-3381,100
YT-33868,100
YT-33920,100
YT-33951,100
YT-3409,100
YT-3421,100
YT-3460,100
YT-34671,100
YT-35853,0
YT-35855,100
YT-35858,100
YT-36070,100
YT-36091,100
YT-3610,100
YT-36177,100
YT-36190,0
YT-36201,100
YT-36203,100
YT-36512,0
YT-36715,100
YT-36716,0
YT-36719,0
YT-36931,20
YT-36937,100
YT-36727,100
YT-36939,20
YT-37010,100
YT-37011,100
YT-37015,100
YT-37040,0
YT-37042,100
YT-37090,100
YT-37111,100
YT-37202,100
YT-37390,100
YT-37404,100
YT-3822,100
YT-3844,100
YT-38512,100
YT-38520,100
YT-3854,100
YT-38561,20
YT-38651,100
YT-38742,20
YT-40010,100
YT-40013,20
YT-4030,100
YT-4080,100
YT-41604,100
YT-4170,100
YT-3705,0
YT-3708,100
YT-3810,100
YT-4100,100
YT-4160,100
YT-4166,100
YT-4167,100
YT-38821,100
YT-38901,100
YT-38911,0
YT-38920,0
YT-41952,100
YT-41955,100
YT-41933,100
YT-41968,100
YT-41969,20
YT-41970,0
YT-419766,100
YT-419773,100
YT-419774,100
YT-419813,100
YT-419834,100
YT-419836,100
YT-419839,100
YT-419844,100
YT-4212,100
YT-4213,100
YT-4224,100
YT-419778,100
YT-42340,100
YT-42349,100
YT-42361,100
YT-42380,100
YT-4363,100
YT-43911,100
YT-43914,100
YT-439341,100
YT-439383,100
YT-43967,100
YT-43968,100
YT-43975,100
YT-43976,100
YT-43977,100
YT-43978,100
YT-43985,20
YT-44033,0
YT-44040,0
YT-44045,100
YT-44054,100
YT-44061,20
YT-44063,20
YT-44074,0
YT-44213,100
YT-43991,0
YT-44207,100
YT-44222,100
YT-44234,100
YT-44233,100
YT-44237,100
YT-44238,100
YT-4455,100
YT-4458,100
YT-4457,100
YT-44626,100
YT-44634,100
YT-44656,100
YT-44668,100
YT-44680,100
YT-44721,100
YT-44729,100
YT-44749,100
YT-44824,100
YT-44860,0
YT-44867,0
YT-44871,100
YT-44876,100
YT-44675,100
YT-44686,100
YT-44782,100
YT-4518,20
YT-45290,100
YT-45293,100
YT-45481,100
YT-45489,100
YT-45492,100
YT-4560,100
YT-45740,100
YT-45765,100
YT-46191,100
YT-4625,100
YT-4630,100
YT-46812,100
YT-46835,100
YT-47020,100
YT-47022,0
YT-47133,100
YT-47135,100
YT-4714,100
YT-47152,100
YT-4730,0
YT-47301,100
YT-47345,100
YT-47496,100
YT-4752,100
YT-47565,100
YT-47802,100
YT-47880,20
YT-47882,100
YT-47900,0
YT-48204,100
YT-48205,100
YT-46831,100
YT-47144,100
YT-47348,100
YT-47360,0
YT-4764,100
YT-47124,100
YT-4864,0
YT-4865,0
YT-4905,100
YT-4909,100
YT-4927,0
YT-50390,100
YT-51311,0
YT-51317,100
YT-51450,20
YT-51451,100
YT-51907,100
YT-51911,100
YT-51960,100
YT-51961,100
YT-51970,100
YT-5200,100
YT-52223,100
YT-52224,20
YT-51880,100
YT-52231,20
YT-52311,100
YT-5234,100
YT-5242,100
YT-52790,0
YT-52840,100
YT-54090,100
YT-54582,0
YT-54622,100
YT-54641,0
YT-55031,20
YT-55456,0
YT-55472,0
YT-55482,0
YT-55503,100
YT-55556,20
YT-55672,100
YT-55740,0
YT-55741,0
YT-55744,20
YT-55830,0
YT-55844,100
YT-58953,100
YT-58966,0
YT-59146,100
YT-59159,100
YT-59760,100
YT-59952,100
YT-59961,100
YT-59985,100
YT-6004,100
YT-6015,100
YT-6022,100
YT-60270,20
YT-60371,100
YT-5504,100
YT-5536,0
YT-55457,20
YT-55481,0
YT-5901,100
YT-5785,0
YT-60427,100
YT-60443,100
YT-6078,0
YT-6081,100
YT-60905,0
YT-6093,0
YT-6120,100
YT-6121,100
YT-61395,100
YT-60488,100
YT-6104,100
YT-60792,100
YT-6154,100
YT-61702,100
YT-61706,100
YT-61725,100
YT-61730,100
YT-61742,100
YT-61750,100
YT-61768,100
YT-61775,100
YT-61787,0
YT-6180,100
YT-6188,0
YT-62229,0
YT-62243,20
YT-62251,0
YT-6229,100
YT-62328,100
YT-62329,100
YT-6243,100
YT-6248,100
YT-62828,20
YT-6332,100
YT-6333,100
YT-6338,100
YT-6354,100
YT-63951,100
YT-63956,100
YT-6410,0
YT-64184,20
YT-64191,0
YT-6420,100
YT-64254,20
YT-64276,100
YT-64307,100
YT-6442,100
YT-6445,0
YT-6450,100
YT-65000,100
YT-6505,100
YT-66700,100
YT-67381,100
YT-67520,100
YT-67542,100
YT-67583,100
YT-68002,100
YT-6855,100
YT-70020,100
YT-7033,100
YT-70571,0
YT-70581,100
YT-70588,100
YT-70630,20
YT-70635,100
YT-70637,100
YT-70656,100
YT-70662,100
YT-70664,100
YT-70670,0
YT-70674,100
YT-70677,100
YT-70678,100
YT-7070,100
YT-70725,100
YT-70751,100
YT-70764,100
YT-70781,100
YT-70843,100
YT-70851,100
YT-71070,100
YT-71082,100
YT-71085,100
YT-71095,100
YT-71151,100
YT-71155,100
YT-71156,100
YT-71581,100
YT-71701,100
YT-72022,20
YT-72090,100
YT-72125,100
YT-7223,100
YT-72241,20
YT-72977,0
YT-6228,0
YT-62258,20
YT-62269,20
YT-62338,100
YT-64251,100
YT-67383,20
YT-72122,100
YT-72513,0
YT-72003,100
YT-73072,100
YT-73093,0
YT-730934,20
YT-73129,0
YT-73150,100
YT-73470,100
YT-7349,100
YT-7361,100
YT-73611,100
YT-73621,100
YT-73766,100
YT-73832,100
YT-73842,100
YT-7416,100
YT-74172,100
YT-74221,100
YT-74225,100
YT-74291,100
YT-7433,100
YT-74333,100
YT-7455,100
YT-7461,100
YT-74621,100
YT-74627,0
YT-65048,20
YT-72303,100
YT-72301,100
YT-7371,100
YT-7382,100
YT-73765,100
YT-73140,0
YT-74336,0
YT-74640,100
YT-746402,100
YT-74650,0
YT-74652,0
YT-74663,100
YT-74664,100
YT-74665,0
YT-7488,100
YT-74949,100
YT-7524,100
YT-7527,0
YT-75464,100
YT-75465,100
YT-7581,0
YT-7600,100
YT-76040,0
YT-76050,100
YT-76103,100
YT-7620,100
YT-77871,0
YT-77876,0
YT-77877,0
YT-77891,0
YT-77894,0
YT-78010,100
YT-78025,100
YT-78031,100
YT-78032,100
YT-78035,100
YT-78045,100
YT-74639,100
YT-74862,100
YT-74917,100
YT-77879,0
YT-77882,0
YT-75235,0
YT-78065,0
YT-78150,0
YT-78167,0
YT-78341,0
YT-78437,100
YT-78454,100
YT-78455,100
YT-78471,0
YT-78477,100
YT-78484,100
YT-78488,100
YT-78501,100
YT-78502,100
YT-78604,100
YT-78620,100
YT-78630,100
YT-78635,100
YT-78801,100
YT-78833,20
YT-7906,0
YT-79104,100
YT-79115,100
YT-79122,0
YT-79123,0
YT-79125,20
YT-79130,100
YT-79131,100
YT-79161,100
YT-79171,100
YT-79173,100
YT-79179,100
YT-79183,100
YT-79187,20
YT-79193,100
YT-79199,100
YT-79234,0
YT-79361,0
YT-79377,100
YT-79381,20
YT-79421,0
YT-79422,0
YT-79433,0
YT-79521,100
YT-79531,0
YT-79534,0
YT-7909,0
YT-79535,0
YT-79571,100
YT-79572,0
YT-79624,100
YT-79663,100
YT-79664,100
YT-79714,100
YT-79717,100
YT-79719,100
YT-79720,100
YT-79723,100
YT-79725,100
YT-79882,100
YT-79883,0
YT-79901,100
YT-79905,100
YT-80070,0
YT-80130,100
YT-80142,100
YT-80156,100
YT-80174,0
YT-80177,20
YT-80184,100
YT-8022,0
YT-8028,100
YT-80172,100
YT-80293,100
YT-80401,100
YT-80431,0
YT-80461,0
YT-80462,20
YT-80411,100
YT-80436,0
YT-80466,100
YT-80501,0
YT-80503,0
YT-80507,0
YT-80536,0
YT-80552,0
YT-80574,0
YT-80590,100
YT-805925,100
YT-805954,100
YT-805965,100
YT-805966,100
YT-805972,100
YT-80628,100
YT-80632,0
YT-80633,0
YT-80636,100
YT-80640,0
YT-80643,100
YT-80678,100
YT-80680,100
YT-80682,100
YT-80701,0
YT-80704,0
YT-80752,100
YT-80753,100
YT-80740,100
YT-80785,100
YT-80789,100
YT-80790,100
YT-80796,0
YT-80799,0
YT-80801,0
YT-80840,100
YT-808502,100
YT-808704,100
YT-80892,0
YT-80894,0
YT-80927,100
YT-80931,100
